Frame 0
Iteration 1: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 2: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 3: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 4: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 5: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 6: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 7: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 8: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 9: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 10: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 11: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 12: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 13: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 14: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 15: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 16: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 17: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 18: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 19: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 20: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 21: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 22: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 23: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 24: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 25: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 26: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 27: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 28: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 29: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 30: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 31: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 32: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 33: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 34: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 35: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 36: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 37: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 38: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 39: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 40: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 41: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 42: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 43: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 44: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 45: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 46: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 47: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 48: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 49: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 50: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 51: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 52: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 53: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 54: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 55: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 56: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 57: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 58: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 59: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 60: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 61: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 62: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 63: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 64: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 65: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 66: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 67: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 68: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 69: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 70: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 71: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 72: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 73: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 74: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 75: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 76: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 77: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 78: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 79: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 80: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 81: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 82: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 83: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 84: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 85: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 86: Reprojection Error: 0.0770, Photometric Error: 0.0673
Iteration 87: Reprojection Error: 0.0770, Photometric Error: 0.0673
